City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Cabo San Lucas,MX,2021-04-19 02:38:36,22.8909,-109.9124,71.01,56,1,11.5
159,Weymouth,US,2021-04-19 02:39:02,42.2209,-70.9398,51.8,54,10,3.44
160,Tura,IN,2021-04-19 02:39:02,25.5198,90.2201,77.18,68,0,6.71
161,Issia,CI,2021-04-19 02:39:03,6.4922,-6.5856,71.74,97,90,3.06
162,Upernavik,GL,2021-04-19 02:39:03,72.7868,-56.1549,0.99,88,100,4.85
163,Sarangani,PH,2021-04-19 02:39:03,5.4033,125.4636,82.67,78,100,25.7
164,Peniche,PT,2021-04-19 02:39:04,39.3558,-9.3811,57.0,90,92,5.48
165,Usinsk,RU,2021-04-19 02:39:04,65.9939,57.5281,15.89,94,99,7.85
166,Ilawa,PL,2021-04-19 02:39:05,53.596,19.5685,41.0,88,3,6.17
167,San Cristobal,VE,2021-04-19 02:39:05,7.7669,-72.225,84.2,54,40,13.8
168,Mackenzie,CA,2021-04-19 02:39:06,55.2999,-123.1698,44.6,39,1,5.75
169,Tarko-Sale,RU,2021-04-19 02:39:06,64.9225,77.785,-2.99,71,53,5.99
170,Yellowknife,CA,2021-04-19 02:39:06,62.456,-114.3525,39.2,56,40,6.91
171,Svetlogorsk,BY,2021-04-19 02:36:19,52.6333,29.7333,42.78,91,94,7.02
172,Vihari,PK,2021-04-19 02:39:07,30.0333,72.35,82.6,29,9,7.87
173,Severo-Kurilsk,RU,2021-04-19 02:39:08,50.6789,156.125,35.19,97,100,29.19
174,Jieshi,CN,2021-04-19 02:39:08,22.8134,115.8257,70.61,60,79,14.27
175,Offa,NG,2021-04-19 02:39:09,8.15,4.7167,71.29,75,100,6.29
176,Tenenkou,ML,2021-04-19 02:39:09,14.4572,-4.9169,84.49,14,75,10.56
177,Nouadhibou,MR,2021-04-19 02:35:50,20.931,-17.0347,64.4,82,0,16.11
178,Jackson,US,2021-04-19 02:39:10,42.4165,-122.8345,82.4,18,1,12.66
179,Zhaodong,CN,2021-04-19 02:39:10,46.0833,125.9833,60.8,36,0,6.71
180,Hilo,US,2021-04-19 02:39:10,19.7297,-155.09,78.8,65,75,11.5
181,Saskatoon,CA,2021-04-19 02:34:47,52.1168,-106.6345,37.99,25,75,12.66
182,Lazaro Cardenas,MX,2021-04-19 02:39:11,17.9583,-102.2,73.76,65,1,5.66
183,Melfi,IT,2021-04-19 02:39:11,40.9965,15.6514,36.0,98,100,2.1
184,Bathsheba,BB,2021-04-19 02:39:12,13.2167,-59.5167,78.8,61,40,23.02
185,Cockburn Town,TC,2021-04-19 02:34:19,21.4612,-71.1419,78.3,87,5,17.98
186,Saskylakh,RU,2021-04-19 02:35:31,71.9167,114.0833,6.91,89,94,11.61
187,San Patricio,US,2021-04-19 02:39:13,28.017,-97.5169,60.8,82,90,3.44
188,La Roche-Sur-Yon,FR,2021-04-19 02:34:16,46.6667,-1.4333,35.6,87,0,5.75
189,Kamphaeng Phet,TH,2021-04-19 02:39:13,16.25,99.5,86.49,57,64,0.6
190,Kharp,RU,2021-04-19 02:39:14,66.8014,65.8081,8.96,86,70,7.34
191,Salalah,OM,2021-04-19 02:39:14,17.0151,54.0924,78.8,69,0,2.3
192,Obo,CF,2021-04-19 02:39:15,5.3998,26.4869,70.52,77,100,2.51
